ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
100,-397074.0258,457277.1255,1982,15,1982-15,1,northern plateau,treed_conif,MB,,52.97,-101,BO,MBs,BMc,231,-51,bog,dc820623,82,06,23,1982-06-23,,446,204,2,Eastern Boreal Plains
232,-139074.0189,232652.3261,1983,45,1983-45,1,northern plateau,treed_conif,MB,,51.08,-97,BO,LBs,BMc,159,-70,bog,dc830807,83,08,07,1983-08-07,,672,428,4,Eastern Boreal Plains
96,-415459.5807,506469.8662,1982,4,Apr-82,2,northern plateau,treed_conif,MB,,53.4,-101.35,BO,MBs,BMc,120,-34,bog,dc820623,82,06,23,1982-06-23,,446,210,2,Eastern Boreal Plains
187,-108175.8163,67928.30989,1983,15,1983-15,3,domed,margin,MB,,49.6,-96.5,BO,LBs,BMt,255,-10,bog,dc830625,83,06,25,1983-06-25,also 27 jun 1983 on another card,629,133,1,Eastern Boreal Plains
102,-408299.8795,629003.9318,1982,17,1982-17,4,palsa,collapse scar_bog,MB,,54.52,-101.43,BO,HBs,BMc,81,-16,bog,dc820625,82,06,25,1982-06-25,,448,177,1,Eastern Boreal Plains
134,-408299.8795,629003.9318,1982,18,1982-18,4,palsa,collapse scar_bog,MB,,54.52,-101.43,BO,HBs,BMc,224,-18,bog,dc820719,82,07,19,1982-07-19,,472,289,2,Eastern Boreal Plains
139,-404326.8409,617612.6273,1982,44,1982-44,4,palsa,collapse scar_bog,MB,,54.42,-101.35,BO,HBs,BHc,133,-40,bog,dc820722,82,07,22,1982-07-22,,475,310,3,Eastern Boreal Plains
147,-287431.5852,625148.3102,1982,49,1982-49,4,palsa,collapse scar_bog,MB,,54.58,-99.53,BO,HBs,BHc,167,-29,bog,dc820801,82,08,01,1982-08-01,,485,337,3,Eastern Boreal Plains
219,-85752.81688,220251.9392,1983,35,1983-35,6,basin swamp,treed_conif,MB,,50.98,-96.23,BO,LBst,BMc,122,-39,conifer swamp,dc830718,83,07,18,1983-07-18,,652,319,3,Mid-Boreal Shield
221,-107367.4237,162117.8635,1983,37,1983-37,1,basin_bog,treed_conif,MB,,50.45,-96.52,BO,LBs,BMc,298,-23,conifer swamp,dc830719,83,07,19,1983-07-19,,653,296,2,Lake of the Woods
197,-69061.43819,125937.2187,1983,21,1983-21,1,flat,treed_conif,MB,,50.13,-95.97,BO,LBst,BL,195,-43,conifer swamp,dc830629,83,06,29,1983-06-29,,633,194,1,Lake of the Woods
166,-74542.87345,6157.677575,1983,2,Feb-83,1,northern plateau,treed_conif,MB,,49.05,-96.02,BO,LBs,BMc,169,-14,conifer swamp,dc830617,83,06,17,1983-06-17,,621,196,1,Lake of the Woods
196,-67654.14066,124808.2159,1983,20,1983-20,6,flat,treed_conif,MB,,50.12,-95.95,BO,LBst,BL,115,-28,conifer swamp,dc830628,83,06,28,1983-06-28,,632,180,1,Lake of the Woods
